StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
North Carolina,NC,District,No,,,,,Alexander County Schools,Regular local school district,3700090,020,4471,Monthly,2/1/21,2/28/21,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,No,,,,,Alexander County Schools,Regular local school district,3700090,020,4471,Monthly,3/1/21,3/31/21,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,No,,,,,Alexander County Schools,Regular local school district,3700090,020,4471,Monthly,4/1/21,4/30/21,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,No,,,,,Alexander County Schools,Regular local school district,3700090,020,4471,Monthly,5/1/21,5/31/21,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,No,,,,,Alleghany County Schools,Regular local school district,3700120,030,1288,Monthly,8/1/20,8/31/20,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,No,,,,,Alleghany County Schools,Regular local school district,3700120,030,1288,Monthly,9/1/20,9/30/20,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,No,,,,,Alleghany County Schools,Regular local school district,3700120,030,1288,Monthly,10/1/20,10/31/20,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,No,,,,,Alleghany County Schools,Regular local school district,3700120,030,1288,Monthly,11/1/20,11/30/20,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,No,,,,,Alleghany County Schools,Regular local school district,3700120,030,1288,Monthly,12/1/20,12/31/20,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,No,,,,,Alleghany County Schools,Regular local school district,3700120,030,1288,Monthly,1/1/21,1/31/21,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,No,,,,,Alleghany County Schools,Regular local school district,3700120,030,1288,Monthly,2/1/21,2/28/21,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,No,,,,,Alleghany County Schools,Regular local school district,3700120,030,1288,Monthly,3/1/21,3/31/21,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,No,,,,,Alleghany County Schools,Regular local school district,3700120,030,1288,Monthly,4/1/21,4/30/21,In-person,,,,,,,,,,,,
North Carolina,NC,District,No,,,,,Alleghany County Schools,Regular local school district,3700120,030,1288,Monthly,5/1/21,5/31/21,In-person,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,Alpha Academy,Charter agency,3700103,26B,946,Monthly,8/1/20,8/31/20,Virtual,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,Alpha Academy,Charter agency,3700103,26B,946,Monthly,9/1/20,9/30/20,Virtual,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,Alpha Academy,Charter agency,3700103,26B,946,Monthly,10/1/20,10/31/20,Virtual,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,Alpha Academy,Charter agency,3700103,26B,946,Monthly,11/1/20,11/30/20,In-person,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,Alpha Academy,Charter agency,3700103,26B,946,Monthly,12/1/20,12/31/20,Virtual,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,Alpha Academy,Charter agency,3700103,26B,946,Monthly,1/1/21,1/31/21,Virtual,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,Alpha Academy,Charter agency,3700103,26B,946,Monthly,2/1/21,2/28/21,In-person,,,,,,,,,,,,
